id;code_reg;code_prov;province_fr;province_ar;region_fr;region_ar;cercle_fr;code_cercle;com_fr;code_com;centre_fr;cod_ac;com_ar;cc;centre_ar;nom_ar;nom_fr;geometry;province_id
1;7453;40573;deliver purple Frozen;open-source Dirham Music;synthesizing Belarussian a;hack Kwacha back-end;Buckinghamshire;26842;payment;58374;b Producteur e-enable;31403;programming;619;b;Designer;Bike Berkshire;Saint-Dominique Bedfordshire;1
2;53264;24412;Investment navigating Handmade;hacking 1080p Lats;Salad;b;hacking discrete program;26129;withdrawal Concrete Directeur;67386;payment Programmable;9311;strategy Directeur;72539;Small Account generating;Loan;d'Azur;a;2
3;99038;17914;Ghana;b redundant;invoice withdrawal circuit;bluetooth withdrawal;pink Car;42040;b reboot;69890;maroon Charron index;87462;success;98564;Picardie Pizza applications;Car Salad Kenyan;Bhutanese Synergistic;c;3
4;74155;76310;withdrawal SQL transition;Tuna interactive;e-markets Royale Electronics;Directeur group migration;Stagiaire;30904;Movies copy;21830;Basse-Normandie;49270;disintermediate Buckinghamshire;53100;SSL;Home Steel;Guinée;transmitter;4
5;92032;70503;b;Function-based disintermediate Electronics;capacity Sports Consultant;Enterprise-wide;mobile dot-com matrix;25401;Fantastic impactful;3776;Shirt IB real-time;4713;de;5826;b maximized XSS;Saint-Honoré;deposit;Arménie engage;5
6;14955;81292;navigating Argentine;b Frozen;portals Technicien;circuit connecting Account;access architectures;56128;Avon Concrete back-end;57976;Ouguiya;78491;Salad;26570;Streamlined Chat-qui-Pêche;Gorgeous web-readiness;markets;migration Limousin indexing;6
7;73268;41993;radical Synergized;Computer Shoes Bacon;Account Burundi card;Pastourelle;Card Ouganda;95864;wireless;91356;Pound a Stagiaire;60545;Rubber Mongolie Avon;58983;bluetooth Norvège eco-centric;Account compress Concrete;Rustic hack;Gold;7
8;7384;41305;blue;24/7;unleash;Avon synthesize;indexing hack;80337;Shirt du;40221;Cameroun Fresh Gold;14849;Fresh;25405;c Nord-Pas-de-Calais Superviseur;niches;eyeballs Games;Fundamental solid Bahreïn;8
9;79356;87375;Monsieur-le-Prince;Borders de world-class;integrate Rustic;AI Synchronised engineer;Gloves Malawi;87337;protocol Coordinateur;80245;innovate deposit Plastic;47879;iterate;79690;Frozen Investment withdrawal;deposit Chili;upward-trending;interface;9
10;76249;7305;Networked seamless;ADP Frozen systems;deposit c Buckinghamshire;deposit;turquoise Rustic Somoni;4761;black redundant;92302;monitoring invoice de;21329;Ergonomic markets;85630;PCI;definition Malaysian;intranet gold;Buckinghamshire white;10
